instrumentName,lastTradeDate,expiryDate,strike,optionType,last close,bid,ask,mid,volume,openInterest,DerebitIV,yFinance_dividend_yield,ticker
ETH-9JUN23-1775-P,2023-6-7 15:1:0,2023-6-9,1775.0,puts,1850.96,0.9254800000000001,1.8509600000000002,1.38822,677.0,636.0,76.08,0,ETH
ETH-9JUN23-1800-C,2023-5-18 11:1:0,2023-6-9,1800.0,calls,1850.96,44.42304,148.07680000000002,96.24992000000002,56.0,4005.0,232.165,0,ETH
ETH-9JUN23-1800-P,2023-5-18 11:1:0,2023-6-9,1800.0,puts,1850.96,0.9254800000000001,1.8509600000000002,1.38822,3770.0,18262.0,55.575,0,ETH
ETH-9JUN23-1825-P,2023-6-7 15:1:0,2023-6-9,1825.0,puts,1850.96,1.8509600000000002,3.7019200000000003,2.77644,2151.0,2207.0,42.51,0,ETH
ETH-9JUN23-1850-C,2023-5-18 11:1:0,2023-6-9,1850.0,calls,1850.96,8.32932,10.18028,9.2548,1609.0,16998.0,33.72,0,ETH
ETH-9JUN23-1850-P,2023-5-18 11:1:0,2023-6-9,1850.0,puts,1850.96,7.403840000000001,9.254800000000001,8.329320000000001,453.0,8875.0,32.71,0,ETH
ETH-9JUN23-1875-C,2023-6-7 15:1:0,2023-6-9,1875.0,calls,1850.96,1.8509600000000002,3.7019200000000003,2.77644,1743.0,1453.0,40.635,0,ETH
ETH-9JUN23-1900-C,2023-5-18 11:1:0,2023-6-9,1900.0,calls,1850.96,0.9254800000000001,1.8509600000000002,1.38822,3851.0,30601.0,53.065,0,ETH
ETH-9JUN23-1900-P,2023-5-18 11:1:0,2023-6-9,1900.0,puts,1850.96,46.274,55.5288,50.9014,19.0,4309.0,42.555,0,ETH
ETH-10JUN23-1750-P,2023-6-7 11:1:0,2023-6-10,1750.0,puts,1850.96,0.9254800000000001,1.8509600000000002,1.38822,79.0,1306.0,54.22,0,ETH
ETH-10JUN23-1800-P,2023-6-7 11:1:0,2023-6-10,1800.0,puts,1850.96,2.77644,3.7019200000000003,3.23918,789.0,1409.0,40.114999999999995,0,ETH
ETH-10JUN23-1825-P,2023-6-7 11:1:0,2023-6-10,1825.0,puts,1850.96,5.55288,7.403840000000001,6.47836,541.0,560.0,34.835,0,ETH
ETH-10JUN23-1850-C,2023-6-7 11:1:0,2023-6-10,1850.0,calls,1850.96,14.807680000000001,16.65864,15.733160000000002,254.0,211.0,32.735,0,ETH
ETH-10JUN23-1850-P,2023-6-7 11:1:0,2023-6-10,1850.0,puts,1850.96,12.95672,15.733160000000002,14.34494,287.0,291.0,31.475,0,ETH
ETH-10JUN23-1875-C,2023-6-7 11:1:0,2023-6-10,1875.0,calls,1850.96,5.55288,7.403840000000001,6.47836,270.0,239.0,33.275,0,ETH
ETH-10JUN23-1900-C,2023-6-7 11:1:0,2023-6-10,1900.0,calls,1850.96,1.8509600000000002,3.7019200000000003,2.77644,391.0,398.0,36.205,0,ETH
ETH-10JUN23-1900-P,2023-6-7 11:1:0,2023-6-10,1900.0,puts,1850.96,4.627400000000001,82.36771999999999,43.49756,1.0,1.0,57.15,0,ETH
ETH-10JUN23-1925-C,2023-6-7 11:1:0,2023-6-10,1925.0,calls,1850.96,0.9254800000000001,1.8509600000000002,1.38822,704.0,592.0,40.655,0,ETH
ETH-11JUN23-1750-P,2023-6-8 11:1:0,2023-6-11,1750.0,puts,1850.96,1.8509600000000002,2.77644,2.3137000000000003,161.0,137.0,47.07,0,ETH
ETH-11JUN23-1800-P,2023-6-8 11:1:0,2023-6-11,1800.0,puts,1850.96,4.627400000000001,5.55288,5.09014,203.0,191.0,36.185,0,ETH
ETH-11JUN23-1825-P,2023-6-8 11:1:0,2023-6-11,1825.0,puts,1850.96,8.32932,10.18028,9.2548,148.0,145.0,32.41,0,ETH
ETH-11JUN23-1850-C,2023-6-8 11:1:0,2023-6-11,1850.0,calls,1850.96,18.509600000000002,19.435080000000003,18.972340000000003,76.0,74.0,30.475,0,ETH
ETH-11JUN23-1850-P,2023-6-8 11:1:0,2023-6-11,1850.0,puts,1850.96,16.65864,18.509600000000002,17.58412,347.0,335.0,29.735,0,ETH
ETH-11JUN23-1875-C,2023-6-8 11:1:0,2023-6-11,1875.0,calls,1850.96,8.32932,9.254800000000001,8.79206,183.0,182.0,30.060000000000002,0,ETH
ETH-11JUN23-1900-C,2023-6-8 11:1:0,2023-6-11,1900.0,calls,1850.96,3.7019200000000003,4.627400000000001,4.1646600000000005,102.0,100.0,32.005,0,ETH
ETH-11JUN23-1950-C,2023-6-8 11:1:0,2023-6-11,1950.0,calls,1850.96,0.9254800000000001,1.8509600000000002,1.38822,98.0,94.0,39.11,0,ETH
ETH-16JUN23-1450-P,2023-5-25 11:1:0,2023-6-16,1450.0,puts,1850.96,0.9254800000000001,1.8509600000000002,1.38822,56.0,393.0,82.41,0,ETH
ETH-16JUN23-1500-P,2023-5-25 11:1:0,2023-6-16,1500.0,puts,1850.96,0.9254800000000001,2.77644,1.8509600000000002,126.0,1293.0,75.19,0,ETH
ETH-16JUN23-1550-P,2023-5-25 11:1:0,2023-6-16,1550.0,puts,1850.96,1.8509600000000002,2.77644,2.3137000000000003,102.0,308.0,68.545,0,ETH
ETH-16JUN23-1600-P,2023-5-25 11:1:0,2023-6-16,1600.0,puts,1850.96,2.77644,3.7019200000000003,3.23918,7.0,844.0,62.215,0,ETH
